stockid,year,bdivbmsypref,BvBmsy,MSY_pred,MSY
ACADREDGOMGB,1921,2.34804633,1.3033223141434882,8462.839888867806,10139
ACADREDGOMGB,1922,2.349202453,1.3171300182542285,8462.839888867806,10139
ACADREDGOMGB,1923,2.350543556,1.330851115420271,8462.839888867806,10139
ACADREDGOMGB,1924,2.351980705,1.3444834564243298,8462.839888867806,10139
ACADREDGOMGB,1925,2.353478329,1.3579984443181259,8462.839888867806,10139
ACADREDGOMGB,1926,2.355075557,1.3714125645234234,8462.839888867806,10139
ACADREDGOMGB,1927,2.356708358,1.3847323169627075,8462.839888867806,10139
ACADREDGOMGB,1928,2.358334045,1.3979559483295019,8462.839888867806,10139
ACADREDGOMGB,1929,2.359941945,1.4110751755352504,8462.839888867806,10139
ACADREDGOMGB,1930,2.361571189,1.4240620039611889,8462.839888867806,10139
ACADREDGOMGB,1931,2.363068812,1.4369483142189454,8462.839888867806,10139
ACADREDGOMGB,1932,2.364498847,1.4497228062595977,8462.839888867806,10139
ACADREDGOMGB,1933,2.365921768,1.4623148496337444,8462.839888867806,10139
ACADREDGOMGB,1934,2.366629671,1.4747834053589557,8462.839888867806,10139
ACADREDGOMGB,1935,2.356605197,1.4864883309692793,8462.839888867806,10139
ACADREDGOMGB,1936,2.309951194,1.4864826221503027,8462.839888867806,10139
ACADREDGOMGB,1937,2.243657332,1.4744995739915494,8462.839888867806,10139
ACADREDGOMGB,1938,2.187309684,1.453024103596504,8462.839888867806,10139
ACADREDGOMGB,1939,2.113356954,1.431702843182629,8462.839888867806,10139
ACADREDGOMGB,1940,2.029244572,1.4025929040906826,8462.839888867806,10139
ACADREDGOMGB,1941,1.909185663,1.3713538838245547,8462.839888867806,10139
ACADREDGOMGB,1942,1.735319019,1.3005595179596645,8462.839888867806,10139
ACADREDGOMGB,1943,1.565738923,1.230062915870348,8462.839888867806,10139
ACADREDGOMGB,1944,1.411462335,1.1604357615106893,8462.839888867806,10139
ACADREDGOMGB,1945,1.275114545,1.0944130884547467,8462.839888867806,10139
ACADREDGOMGB,1946,1.160181707,1.0382539555405397,8462.839888867806,10139
ACADREDGOMGB,1947,1.042552435,0.9857294095730462,8462.839888867806,10139
ACADREDGOMGB,1948,0.926641339,0.9294088726089036,8462.839888867806,10139
ACADREDGOMGB,1949,0.825375651,0.8765819567730827,8462.839888867806,10139
ACADREDGOMGB,1950,0.745773926,0.8334436517787871,8462.839888867806,10139
ACADREDGOMGB,1951,0.666858761,0.7961423766856385,8462.839888867806,10139
ACADREDGOMGB,1952,0.609998862,0.7596072973948801,8462.839888867806,10139
ACADREDGOMGB,1953,0.577719912,0.7375812059319391,8462.839888867806,10139
ACADREDGOMGB,1954,0.56078716,0.7232227623631864,8462.839888867806,10139
ACADREDGOMGB,1955,0.550890748,0.7137013849477799,8462.839888867806,10139
ACADREDGOMGB,1956,0.538956003,0.7041145204345578,8462.839888867806,10139
ACADREDGOMGB,1957,0.520408236,0.6936063935708928,8462.839888867806,10139
ACADREDGOMGB,1958,0.497132815,0.6802873663541655,8462.839888867806,10139
ACADREDGOMGB,1959,0.479378326,0.6668566537049851,8462.839888867806,10139
ACADREDGOMGB,1960,0.468613933,0.6541626300871155,8462.839888867806,10139
ACADREDGOMGB,1961,0.462530949,0.6437503248683646,8462.839888867806,10139
ACADREDGOMGB,1962,0.451044424,0.6332415400008655,8462.839888867806,10139
ACADREDGOMGB,1963,0.445167762,0.6226312331526069,8462.839888867806,10139
ACADREDGOMGB,1964,0.450080395,0.6189578348442056,8462.839888867806,10139
ACADREDGOMGB,1965,0.45941831,0.6181537222480722,8462.839888867806,10139
ACADREDGOMGB,1966,0.469204445,0.6173448427292909,8462.839888867806,10139
ACADREDGOMGB,1967,0.475095336,0.6160851266496611,8462.839888867806,10139
ACADREDGOMGB,1968,0.481537608,0.6148163835701075,8462.839888867806,10139
ACADREDGOMGB,1969,0.486934033,0.6095422282070727,8462.839888867806,10139
ACADREDGOMGB,1970,0.471402857,0.6014716426855609,8462.839888867806,10139
ACADREDGOMGB,1971,0.436786761,0.5860959698314709,8462.839888867806,10139
ACADREDGOMGB,1972,0.390275051,0.5663927531131029,8462.839888867806,10139
ACADREDGOMGB,1973,0.342496941,0.5464154441440671,8462.839888867806,10139
ACADREDGOMGB,1974,0.30550101,0.529090759337785,8462.839888867806,10139
ACADREDGOMGB,1975,0.282115313,0.5233356720936467,8462.839888867806,10139
ACADREDGOMGB,1976,0.260856883,0.5175042323086091,8462.839888867806,10139
ACADREDGOMGB,1977,0.238573949,0.5114193743826464,8462.839888867806,10139
ACADREDGOMGB,1978,0.21031475,0.5008862542202395,8462.839888867806,10139
ACADREDGOMGB,1979,0.176566635,0.4886116438128292,8462.839888867806,10139
ACADREDGOMGB,1980,0.144735906,0.47612858348300674,8462.839888867806,10139
ACADREDGOMGB,1981,0.121346652,0.4702900529813288,8462.839888867806,10139
ACADREDGOMGB,1982,0.101721022,0.4683709163349495,8462.839888867806,10139
ACADREDGOMGB,1983,0.085859017,0.46821846645615894,8462.839888867806,10139
ACADREDGOMGB,1984,0.074102137,0.4708262415267517,8462.839888867806,10139
ACADREDGOMGB,1985,0.064383591,0.4744209536454049,8462.839888867806,10139
ACADREDGOMGB,1986,0.057887959,0.4789611475793173,8462.839888867806,10139
ACADREDGOMGB,1987,0.055931444,0.4859261574834186,8462.839888867806,10139
ACADREDGOMGB,1988,0.057646063,0.4947948532155306,8462.839888867806,10139
ACADREDGOMGB,1989,0.062391502,0.5050044253280546,8462.839888867806,10139
ACADREDGOMGB,1990,0.069420729,0.5162148251528832,8462.839888867806,10139
ACADREDGOMGB,1991,0.06372549,0.5275438075460465,8462.839888867806,10139
ACADREDGOMGB,1992,0.054736191,0.5384549944716578,8462.839888867806,10139
ACADREDGOMGB,1993,0.062800592,0.5493505728899561,8462.839888867806,10139
ACADREDGOMGB,1994,0.074215971,0.560474274505976,8462.839888867806,10139
ACADREDGOMGB,1995,0.091419079,0.5722948678535124,8462.839888867806,10139
ACADREDGOMGB,1996,0.115882638,0.5842185680258777,8462.839888867806,10139
ACADREDGOMGB,1997,0.148517317,0.5962418646340201,8462.839888867806,10139
ACADREDGOMGB,1998,0.18904209,0.6084377794867396,8462.839888867806,10139
ACADREDGOMGB,1999,0.235503998,0.62098810370302,8462.839888867806,10139
ACADREDGOMGB,2e3,0.286448106,0.6335340363509843,8462.839888867806,10139
ACADREDGOMGB,2001,0.339665329,0.6461661153405918,8462.839888867806,10139
ACADREDGOMGB,2002,0.395148553,0.6588703182252744,8462.839888867806,10139
ACADREDGOMGB,2003,0.454196192,0.6715347917074201,8462.839888867806,10139
ACADREDGOMGB,2004,0.517238681,0.6843421030580199,8462.839888867806,10139
ACADREDGOMGB,2005,0.584806056,0.697150719530457,8462.839888867806,10139
ACADREDGOMGB,2006,0.656773813,0.7098843610967996,8462.839888867806,10139
ACADREDGOMGB,2007,0.732458949,0.722651048220484,8462.839888867806,10139
ACADREDGOMGB,2008,0.811601781,0.7346469478229839,8462.839888867806,10139
ACADREDGOMGB,2009,0.896969891,0.7463428871059169,8462.839888867806,10139
ACADREDGOMGB,2010,0.99205299,0.7575845086035587,8462.839888867806,10139
ACADREDGOMGB,2011,1.099881898,0.7685677731469976,8462.839888867806,10139
ACADREDGOMGB,2012,1.218613933,0.7789726145421211,8462.839888867806,10139
ACADREDGOMGB,2013,1.344634879,0.7864979985267124,8462.839888867806,10139
ACADREDGOMGB,2014,1.173923561,0.7937474073174753,8462.839888867806,10139
AFLONCH,2006,0.762789537,0.2130030204613471,NA,1312.061435
AFLONCH,2007,0.690932552,0.21604074431798131,NA,1312.061435
AFLONCH,2008,0.685405091,0.266503691463966,NA,1312.061435
AFLONCH,2009,0.635657948,0.24778526611942053,NA,1312.061435
AFLONCH,2010,0.630130487,0.24298441924227474,NA,1312.061435
AFLONCH,2011,0.641185408,0.23285110522427488,NA,1312.061435
ALBAIO,1958,4.91,7.103947078120116,NA,27022
ALBAIO,1959,4.81,6.814854208747039,NA,27022
ALBAIO,1960,4.66,6.741804762991872,NA,27022
ALBAIO,1961,4.58,6.438845608289564,NA,27022
ALBAIO,1962,4.41,6.24736561671905,NA,27022
ALBAIO,1963,4.53,5.14797908930227,NA,27022
ALBAIO,1964,4.89,5.856156525201852,NA,27022
ALBAIO,1965,5.68,4.6617415567267715,NA,27022
ALBAIO,1966,5.87,4.873056719043255,NA,27022
ALBAIO,1967,5.37,5.613421622603685,NA,27022
ALBAIO,1968,4.6,5.00655453256607,NA,27022
ALBAIO,1969,3.98,5.388396421203668,NA,27022
ALBAIO,1970,3.83,4.34433931909415,NA,27022
ALBAIO,1971,4.45,3.9702462274277686,NA,27022
ALBAIO,1972,4.98,3.994703495845457,NA,27022
ALBAIO,1973,4.98,5.2002799126324115,NA,27022
ALBAIO,1974,4.87,5.303044017753918,NA,27022
ALBAIO,1975,4.78,3.7885822253698045,NA,27022
ALBAIO,1976,4.59,3.7738231826926842,NA,27022
ALBAIO,1977,4.3,3.3700648316335973,NA,27022
ALBAIO,1978,4.15,3.653106120343029,NA,27022
ALBAIO,1979,4.13,4.174918831386363,NA,27022
ALBAIO,1980,4.29,3.7412362294639565,NA,27022
ALBAIO,1981,4.79,3.7994980252841772,NA,27022
ALBAIO,1982,5.04,4.433078578540622,NA,27022
ALBAIO,1983,4.96,4.16309990731218,NA,27022
ALBAIO,1984,4.72,3.955021659638543,NA,27022
ALBAIO,1985,4.65,3.412920172976483,NA,27022
ALBAIO,1986,4.76,4.2562270825530835,NA,27022
ALBAIO,1987,4.89,4.59156858186812,NA,27022
ALBAIO,1988,4.76,4.463007945650059,NA,27022
ALBAIO,1989,4.37,3.932000759600348,NA,27022
ALBAIO,1990,3.88,3.896640078342431,NA,27022
ALBAIO,1991,3.32,3.8280413442748165,NA,27022
ALBAIO,1992,2.8,3.4086235621371452,NA,27022
ALBAIO,1993,2.47,3.346669599722562,NA,27022
ALBAIO,1994,2.46,3.3241501442854595,NA,27022
ALBAIO,1995,2.48,3.468809107976162,NA,27022
ALBAIO,1996,2.4,3.983027670704111,NA,27022
ALBAIO,1997,2.36,3.951503528064288,NA,27022
ALBAIO,1998,2.31,3.9199496228692317,NA,27022
ALBAIO,1999,2.31,4.028274916567956,NA,27022
ALBAIO,2e3,2.22,3.7881968095100436,NA,27022
ALBAIO,2001,1.95,3.6231259266384517,NA,27022
ALBAIO,2002,1.65,3.152335815011735,NA,27022
ALBAIO,2003,1.54,2.821314211155252,NA,27022
ALBAIO,2004,1.54,2.7689767263905645,NA,27022
ALBAIO,2005,1.67,2.7014186780644502,NA,27022
ALBAIO,2006,1.66,2.8929263416899955,NA,27022
ALBAIO,2007,1.57,3.2952593465172684,NA,27022
ALBAIO,2008,1.54,3.2662193501393104,NA,27022
ALBAIO,2009,1.53,3.2725157173120336,NA,27022
ALBAIO,2010,1.38,3.4151799731694785,NA,27022
ALBAIO,2011,1.21,2.9815888118447673,NA,27022
ALBAIO,2012,1.09,2.8943370052711614,NA,27022
ALBAMED,1969,1.95,2.484193538775469,867.8005298491219,28900
ALBAMED,1970,1.96,2.4759684032518234,867.8005298491219,28900
ALBAMED,1971,1.96,2.467894034036217,867.8005298491219,28900
ALBAMED,1972,1.97,2.459966869813058,867.8005298491219,28900
ALBAMED,1973,1.97,2.4521834542306022,867.8005298491219,28900
ALBAMED,1974,1.97,2.444540432148445,867.8005298491219,28900
ALBAMED,1975,1.98,2.437034546043099,867.8005298491219,28900
ALBAMED,1976,1.98,2.4296626325640123,867.8005298491219,28900
ALBAMED,1977,1.98,2.4213829521546986,867.8005298491219,28900
ALBAMED,1978,1.97,2.4127559392608715,867.8005298491219,28900
ALBAMED,1979,1.98,2.4038891370174347,867.8005298491219,28900
ALBAMED,1980,1.98,2.395569193971238,867.8005298491219,28900
ALBAMED,1981,1.97,2.383256306490707,867.8005298491219,28900
ALBAMED,1982,1.97,2.363716291366187,867.8005298491219,28900
ALBAMED,1983,1.97,2.3445139123022587,867.8005298491219,28900
ALBAMED,1984,1.94,2.325639478791881,867.8005298491219,28900
ALBAMED,1985,1.92,2.2699624298566228,867.8005298491219,28900
ALBAMED,1986,1.9,2.2107829941470603,867.8005298491219,28900
ALBAMED,1987,1.91,2.147615044293096,867.8005298491219,28900
ALBAMED,1988,1.9,2.0854228783055797,867.8005298491219,28900
ALBAMED,1989,1.9,2.0231298912346927,867.8005298491219,28900
ALBAMED,1990,1.91,1.9617192279382552,867.8005298491219,28900
ALBAMED,1991,1.91,1.9297515909979557,867.8005298491219,28900
ALBAMED,1992,1.92,1.901261474889185,867.8005298491219,28900
ALBAMED,1993,1.92,1.8731279088116262,867.8005298491219,28900
ALBAMED,1994,1.93,1.8463592331442695,867.8005298491219,28900
ALBAMED,1995,1.93,1.8292745037707099,867.8005298491219,28900
ALBAMED,1996,1.92,1.8123842620294899,867.8005298491219,28900
ALBAMED,1997,1.92,1.7795060829835658,867.8005298491219,28900
ALBAMED,1998,1.92,1.7442720806221224,867.8005298491219,28900
ALBAMED,1999,1.9,1.7094198905462743,867.8005298491219,28900
ALBAMED,2e3,1.87,1.6383218149997854,867.8005298491219,28900
ALBAMED,2001,1.87,1.5675883021327675,867.8005298491219,28900
ALBAMED,2002,1.85,1.4854038423799387,867.8005298491219,28900
ALBAMED,2003,1.85,1.4033713035335145,867.8005298491219,28900
ALBAMED,2004,1.85,1.321910074624978,867.8005298491219,28900
ALBAMED,2005,1.86,1.2535250006457508,867.8005298491219,28900
ALBAMED,2006,1.85,1.1854622395614045,867.8005298491219,28900
ALBAMED,2007,1.82,1.099256862224873,867.8005298491219,28900
ALBAMED,2008,1.86,1.0132612475032403,867.8005298491219,28900
ALBAMED,2009,1.86,0.9602186644089973,867.8005298491219,28900
ALBAMED,2010,1.89,0.9250409065297277,867.8005298491219,28900
ALBANATL,1958,1.442683207,3.7013701389285947,NA,29e3
ALBANATL,1959,1.396737882,3.794078126782734,NA,29e3
ALBANATL,1960,1.350792557,3.6365870728857606,NA,29e3
ALBANATL,1961,1.316333563,3.271140596612028,NA,29e3
ALBANATL,1962,1.274982771,3.219042525798227,NA,29e3
ALBANATL,1963,1.217551114,3.341924352949708,NA,29e3
ALBANATL,1964,1.155524925,3.2047672315089475,NA,29e3
ALBANATL,1965,1.093498737,3.238890161304364,NA,29e3
ALBANATL,1966,1.056742476,2.7086441640384846,NA,29e3
ALBANATL,1967,1.024580749,2.8004703967123765,NA,29e3
ALBANATL,1968,0.997013554,2.5960419082848394,NA,29e3
ALBANATL,1969,0.985527223,2.591609109857282,NA,29e3
ALBANATL,1970,0.976338158,2.7352854486417817,NA,29e3
ALBANATL,1971,0.957960028,2.796026955192056,NA,29e3
ALBANATL,1972,0.937284631,2.886836974512889,NA,29e3
ALBANATL,1973,0.930392833,2.730480246828651,NA,29e3
ALBANATL,1974,0.916609235,2.764392066933141,NA,29e3
ALBANATL,1975,0.902825637,2.5347525883974718,NA,29e3
ALBANATL,1976,0.882150241,2.8446464741599127,NA,29e3
ALBANATL,1977,0.85228578,2.9144263814990246,NA,29e3
ALBANATL,1978,0.827015851,2.7507439617128084,NA,29e3
ALBANATL,1979,0.799448656,2.802191036442346,NA,29e3
ALBANATL,1980,0.781070526,2.4130406582916293,NA,29e3
ALBANATL,1981,0.77877326,2.3153387848038416,NA,29e3
ALBANATL,1982,0.771881461,2.470771001061625,NA,29e3
ALBANATL,1983,0.744314266,2.675418228496916,NA,29e3
ALBANATL,1984,0.716747071,2.7029883399783405,NA,29e3
ALBANATL,1985,0.700666207,2.632061750253853,NA,29e3
ALBANATL,1986,0.677693545,2.623312734351756,NA,29e3
ALBANATL,1987,0.654720882,2.41699897126746,NA,29e3
ALBANATL,1988,0.645531817,2.3794291684798643,NA,29e3
ALBANATL,1989,0.643234551,2.338414071303867,NA,29e3
ALBANATL,1990,0.636342752,2.3507314964464983,NA,29e3
ALBANATL,1991,0.63174822,2.3463459758832994,NA,29e3
ALBANATL,1992,0.636342752,2.3850685840014902,NA,29e3
ALBANATL,1993,0.629450953,2.5189863460706987,NA,29e3
ALBANATL,1994,0.615667356,2.461392360663259,NA,29e3
ALBANATL,1995,0.601883758,2.5724422186899174,NA,29e3
