"country","region","total_profit_2050_BAU","total_profit_2050_OPT","total_profit_2050_CS","delta_p_OPT_BAU","delta_p_CS_BAU","t_reform_harvest_OPT","t_reform_harvest_CS","max_cmt_OPT","max_cmt_CS"
"Senegal","Africa",-36684545.3728208,142472690.601757,211070845.836145,179157235.974578,247755391.208966,218008.799487475,233263.213765167,821.789012167241,768.047533439803
"Seychelles","Africa",-1365535.21126977,4663866.89744363,6805046.35753574,6029402.1087134,8170581.56880551,3130.80481856219,3130.80481856219,1925.83136226371,1925.83136226371
"Sierra Leone","Africa",-10828157.8907826,84165229.584523,124723136.738126,94993387.4753056,135551294.628909,73375.6766130014,141977.993261302,1294.61685207103,669.071208102484
"Singapore","Asia",-580061.197895477,1759294.14668538,2536713.70440652,2339355.34458086,3116774.902302,1289.1914158784,1289.1914158784,1814.59115827801,1814.59115827801
"Slovenia","Europe",-24139.6551804338,239379.458201493,360236.805089064,263519.113381927,384376.460269498,90.7718149885415,271.983075338891,2903.09402114734,968.880556459562
"Solomon Islands","Oceania",-1244830.80705443,2410802.27407756,3824592.51803167,3655633.08113199,5069423.3250861,2423.8602302405,2423.8602302405,1508.18641913576,1508.18641913576
"Somalia","Africa",-2489904.7615552,5615457.15331997,7864486.20354505,8105361.91487517,10354390.9651002,1207.66754057832,1207.66754057832,6711.58381138051,6711.58381138051
"South Africa","Africa",301437734.712346,561167837.4604,685761517.794313,259730102.748054,384323783.081967,400786.369881735,401798.990935237,648.051236933769,646.418006534808
"Spain","Europe",-63252766.7236895,587716311.462494,857500476.386005,650969078.186183,920753243.109695,402327.393931014,510224.356439266,1618.00833849709,1275.84869277731
"Sri Lanka","Asia",-5142599.74705459,97670646.8813001,141414281.353184,102813246.628355,146556881.100239,79265.1489203234,79265.1489203234,1297.08009167688,1297.08009167688
"St. Pierre and Miquelon","North America",7433223.22223656,8220272.22706572,11736422.4772719,787049.004829159,4303199.25503529,4241.08122313734,5777.23716626309,185.577442029497,136.23276700933
"Sudan","Africa",-4943.06829046426,22393.1528149655,34156.0068926267,27336.2211054298,39099.075183091,32.3868763274979,32.3868763274979,844.052412742877,844.052412742877
"Suriname","Latin America",-2385527.41539993,8267758.9404612,12280363.4501611,10653286.3558611,14665890.865561,3710.72894593287,3710.72894593287,2870.94166970552,2870.94166970552
"Sweden","Europe",62251696.6031924,74715994.7919814,81577084.826573,12464298.188789,19325388.2233806,4016.0869742701,78647.945263299,3103.59269324697,158.48218471647
"Syrian Arab Republic","Asia",-194787.256162064,613150.40192609,906186.131343824,807937.658088154,1100973.38750589,666.444122544745,666.444122544745,1212.31117622154,1212.31117622154
"Taiwan Province of China","Asia",-178036837.017189,523799430.673382,784233548.463816,701836267.690571,962270385.481005,520978.247231821,520978.247231821,1347.15080988453,1347.15080988453
"Thailand","Asia",-356638577.285434,1274429551.27901,1838991294.72304,1631068128.56444,2195629872.00847,1142725.26078367,1142725.26078367,1427.34932405876,1427.34932405876
"Timor-Leste","Asia",-104625.034449736,250013.613517754,351892.820280342,354638.64796749,456517.854730078,66.6939029371814,66.6939029371814,5317.40732434751,5317.40732434751
"Togo","Africa",-68922.93618638,6003146.01388937,9020251.67722215,6072068.95007575,9089174.61340853,5462.98939369212,7990.14062194151,1111.49198954823,759.945192128585
"Tokelau","Oceania",-3421.96350028553,13735.9768204261,20970.3686654713,17157.9403207116,24392.3321657568,27.5271485861078,27.5271485861078,623.309757893732,623.309757893732
"Tonga","Oceania",-137846.651316692,396306.454235806,568482.639395957,534153.105552498,706329.290712649,253.422249558104,253.422249558104,2107.75930875804,2107.75930875804
"Trinidad and Tobago","Caribbean",-1494412.32348173,3707480.21782584,5424867.01433894,5201892.54130757,6919279.33782067,3304.76628496759,3304.76628496759,1574.0576164098,1574.0576164098
"Tunisia","Caribbean",-19667734.4859956,74743926.4245335,112678340.256824,94411660.9105291,132346074.74282,64982.3999724879,72991.2857836337,1452.880486878,1293.46482798496
"Turkey","Europe",-3757111.4418901,134135762.219427,201987784.855081,137892873.661317,205744896.296971,128926.585957661,226091.907513431,1069.54568475582,609.897431437813
"Turks and Caicos Is.","Caribbean",-359517.628691508,1636745.03446392,2617078.00116477,1996262.66315543,2976595.62985628,151.103552509091,151.103552509091,13211.2225689421,13211.2225689421
