"country","region","total_profit_2050_BAU","total_profit_2050_OPT","total_profit_2050_CS","delta_p_OPT_BAU","delta_p_CS_BAU","t_reform_harvest_OPT","t_reform_harvest_CS","max_cmt_OPT","max_cmt_CS"
"Tuvalu","Oceania",-1404.53037453611,3101.30046918725,4454.44291123013,4505.83084372336,5858.97328576624,3.5500647610481,3.5500647610481,1269.22497109407,1269.22497109407
"Ukraine","Europe",8764447.54679777,33931628.3308699,50542292.2356371,25167180.7840721,41777844.6888393,28373.8696047238,84200.6874162059,886.984437959149,298.895193808456
"United Arab Emirates","Asia",-8803978.13628535,31965501.7872603,47757911.5852478,40769479.9235457,56561889.7215331,29761.7604412466,29761.7604412466,1369.86116812645,1369.86116812645
"United Kingdom","Europe",239325386.897871,612503835.709263,767184015.937098,373178448.811391,527858629.039227,155829.953299146,245227.782931154,2394.77995668139,1521.76251952724
"United Republic of Tanzania","Africa",-8928753.72234778,25811877.0015541,37440426.5946489,34740630.7239019,46369180.3169967,26102.4187397047,26102.4187397047,1330.93530796276,1330.93530796276
"Uruguay","Latin America",-4587071.37650221,49421184.7550224,74883190.4009381,54008256.1315247,79470261.7774403,65554.4013776673,65586.0825991941,823.869259676039,823.471291334426
"US Virgin Islands","Caribbean",-251813.558905205,834215.727147678,1216146.06626515,1086029.28605288,1467959.62517035,175.372162877406,175.372162877406,6192.71193463054,6192.71193463054
"USA","North America",5971565405.14913,7936820559.35256,9386847796.72594,1965255154.20343,3415282391.57681,1321179.53066684,3160467.77983973,1487.50045590814,621.824138420132
"Vanuatu","Oceania",10190233.74179,27707710.762639,34771122.7366607,17517477.020849,24580888.9948707,11544.4280555046,23707.3202050546,1517.39669879066,738.905826104887
"Venezuela","Latin America",-22073945.2151412,69592970.4568653,104584010.831796,91666915.6720065,126657956.046937,104754.143646466,104754.143646466,875.067204800724,875.067204800724
"Viet Nam","Asia",-463459548.622635,985105560.415703,1406605308.48074,1448565109.03834,1870064857.10337,600456.163969353,600456.163969353,2412.44106724212,2412.44106724212
"Wallis and Futuna Is.","Oceania",-13539.3472945981,30275.7419996973,42659.7958754343,43815.0892942954,56199.1431700324,6.41376694246995,6.41376694246995,6831.41275436213,6831.41275436213
"Yemen","Asia",-7522348.88908186,56121367.1486429,83591894.3276684,63643716.0377248,91114243.2167503,75018.4310790706,75018.4310790706,848.374394429061,848.374394429061
"Zanzibar","Africa",-10525704.6789589,28378903.7807895,40124018.7969575,38904608.4597484,50649723.4759164,13844.3818316905,13844.3818316905,2810.13691566161,2810.13691566161
